DATA,CASA,TRASFERTA,GOLCS,GOLTR
29/03/2019,Lok. Zagreb,Rijeka,1,2
30/03/2019,Din. Zagabria,Zapresic,1,0
30/03/2019,Istra 1961,Hajduk Split,0,2
02/04/2019,Gorica,Lok. Zagreb,0,2
02/04/2019,Rijeka,Slaven Belupo,2,0
03/04/2019,Zapresic,Osijek,1,3
03/04/2019,Hajduk Split,Din. Zagabria,0,1
04/04/2019,Rudes,Istra 1961,1,0
06/04/2019,Zapresic,Lok. Zagreb,3,2
06/04/2019,Gorica,Rijeka,1,0
07/04/2019,Rudes,Din. Zagabria,0,2
07/04/2019,Hajduk Split,Osijek,0,0
08/04/2019,Slaven Belupo,Istra 1961,3,3
