DATA,CASA,TRASFERTA,GOLCS,GOLTR
06/01/2019,Sp Braga,Boavista,1,0
07/01/2019,Moreirense,Aves,1,0
07/01/2019,Porto,Nacional,3,1
07/01/2019,Tondela,Sp Lisbon,2,1
10/01/2019,Portimonense,Sp Braga,1,1
11/01/2019,Aves,Feirense,1,1
11/01/2019,Guimaraes,Moreirense,1,0
11/01/2019,Santa Clara,Benfica,0,2
12/01/2019,Boavista,Maritimo,0,1
12/01/2019,Sp Lisbon,Porto,0,0
13/01/2019,Chaves,Tondela,2,1
13/01/2019,Nacional,Belenenses,0,1
13/01/2019,Rio Ave,Setubal,1,1
18/01/2019,Chaves,Porto,1,4
18/01/2019,Guimaraes,Benfica,0,1
18/01/2019,Nacional,Sp Braga,0,3
19/01/2019,Belenenses,Tondela,2,2
19/01/2019,Santa Clara,Maritimo,0,1
19/01/2019,Sp Lisbon,Moreirense,2,1
20/01/2019,Aves,Setubal,2,1
20/01/2019,Boavista,Portimonense,0,2
20/01/2019,Rio Ave,Feirense,0,0
28/01/2019,Feirense,Guimaraes,1,2
28/01/2019,Maritimo,Rio Ave,0,2
28/01/2019,Moreirense,Nacional,2,1
28/01/2019,Tondela,Aves,0,2
29/01/2019,Benfica,Boavista,5,1
29/01/2019,Portimonense,Chaves,0,1
29/01/2019,Sp Braga,Santa Clara,1,0
30/01/2019,Porto,Belenenses,3,0
30/01/2019,Setubal,Sp Lisbon,1,1
01/02/2019,Rio Ave,Tondela,2,2
02/02/2019,Aves,Sp Braga,0,2
02/02/2019,Boavista,Feirense,2,0
02/02/2019,Chaves,Maritimo,1,0
03/02/2019,Guimaraes,Porto,0,0
03/02/2019,Nacional,Setubal,0,0
03/02/2019,Santa Clara,Portimonense,2,1
03/02/2019,Sp Lisbon,Benfica,2,4
04/02/2019,Belenenses,Moreirense,0,1
08/02/2019,Moreirense,Porto,1,1
09/02/2019,Maritimo,Aves,0,1
09/02/2019,Portimonense,Rio Ave,0,1
09/02/2019,Tondela,Guimaraes,1,0
10/02/2019,Benfica,Nacional,10,0
10/02/2019,Boavista,Santa Clara,1,0
10/02/2019,Feirense,Sp Lisbon,1,3
10/02/2019,Sp Braga,Chaves,2,1
11/02/2019,Setubal,Belenenses,0,0
15/02/2019,Rio Ave,Santa Clara,1,2
16/02/2019,Guimaraes,Portimonense,2,0
16/02/2019,Nacional,Feirense,4,0
16/02/2019,Porto,Setubal,2,0
17/02/2019,Belenenses,Maritimo,0,1
17/02/2019,Chaves,Boavista,1,1
17/02/2019,Moreirense,Tondela,2,0
17/02/2019,Sp Lisbon,Sp Braga,3,0
18/02/2019,Aves,Benfica,0,3
22/02/2019,Sp Braga,Belenenses,0,2
22/02/2019,Tondela,Porto,0,3
23/02/2019,Feirense,Moreirense,1,3
23/02/2019,Portimonense,Aves,1,1
23/02/2019,Setubal,Guimaraes,1,1
24/02/2019,Boavista,Rio Ave,1,0
24/02/2019,Santa Clara,Nacional,2,0
25/02/2019,Benfica,Chaves,4,0
25/02/2019,Maritimo,Sp Lisbon,0,0
01/03/2019,Aves,Boavista,2,0
02/03/2019,Moreirense,Setubal,1,1
02/03/2019,Nacional,Tondela,3,2
02/03/2019,Porto,Benfica,1,2
03/03/2019,Belenenses,Feirense,4,0
03/03/2019,Chaves,Santa Clara,0,0
03/03/2019,Rio Ave,Sp Braga,1,2
03/03/2019,Sp Lisbon,Portimonense,3,1
04/03/2019,Guimaraes,Maritimo,1,0
08/03/2019,Chaves,Rio Ave,1,1
09/03/2019,Boavista,Sp Lisbon,1,2
09/03/2019,Maritimo,Moreirense,3,2
09/03/2019,Sp Braga,Guimaraes,1,0
10/03/2019,Feirense,Porto,1,2
10/03/2019,Portimonense,Nacional,5,1
10/03/2019,Santa Clara,Aves,0,0
10/03/2019,Setubal,Tondela,0,0
11/03/2019,Benfica,Belenenses,2,2
15/03/2019,Sp Lisbon,Santa Clara,1,0
16/03/2019,Belenenses,Portimonense,2,2
16/03/2019,Guimaraes,Boavista,3,1
16/03/2019,Porto,Maritimo,3,0
16/03/2019,Setubal,Sp Braga,0,1
17/03/2019,Aves,Chaves,0,1
17/03/2019,Moreirense,Benfica,0,4
17/03/2019,Nacional,Rio Ave,0,1
17/03/2019,Tondela,Feirense,1,1
29/03/2019,Portimonense,Moreirense,0,2
30/03/2019,Benfica,Tondela,1,0
30/03/2019,Chaves,Sp Lisbon,1,3
30/03/2019,Santa Clara,Guimaraes,1,0
30/03/2019,Sp Braga,Porto,2,3
31/03/2019,Boavista,Belenenses,2,0
31/03/2019,Maritimo,Nacional,3,2
31/03/2019,Rio Ave,Aves,0,2
01/04/2019,Feirense,Setubal,0,1
05/04/2019,Porto,Boavista,2,0
06/04/2019,Belenenses,Santa Clara,1,1
06/04/2019,Guimaraes,Chaves,4,0
06/04/2019,Moreirense,Sp Braga,1,0
06/04/2019,Nacional,Aves,0,0
07/04/2019,Feirense,Benfica,1,4
07/04/2019,Setubal,Maritimo,1,0
07/04/2019,Sp Lisbon,Rio Ave,3,0
08/04/2019,Tondela,Portimonense,3,2
12/04/2019,Chaves,Belenenses,2,2
13/04/2019,Aves,Sp Lisbon,1,3
13/04/2019,Portimonense,Porto,0,3
13/04/2019,Santa Clara,Moreirense,1,1
14/04/2019,Benfica,Setubal,4,2
14/04/2019,Boavista,Nacional,1,0
14/04/2019,Maritimo,Feirense,2,0
14/04/2019,Rio Ave,Guimaraes,2,1
14/04/2019,Sp Braga,Tondela,3,0
