DATA,CASA,TRASFERTA,GOLCS,GOLTR
08/12/2018,Wolfsburg,Hoffenheim,2,2
09/12/2018,Mainz,Hannover,1,1
09/12/2018,'M''gladbach',Stuttgart,3,0
14/12/2018,Nurnberg,Wolfsburg,0,2
15/12/2018,Augsburg,Schalke 04,1,1
15/12/2018,Dortmund,Werder Bremen,2,1
15/12/2018,Fortuna Dusseldorf,Freiburg,2,0
15/12/2018,Hannover,Bayern Munich,0,4
15/12/2018,Hoffenheim,'M''gladbach',0,0
15/12/2018,Stuttgart,Hertha,2,1
16/12/2018,Ein Frankfurt,Leverkusen,2,1
16/12/2018,RB Leipzig,Mainz,4,1
18/12/2018,Fortuna Dusseldorf,Dortmund,2,1
18/12/2018,Hertha,Augsburg,2,2
18/12/2018,'M''gladbach',Nurnberg,2,0
18/12/2018,Wolfsburg,Stuttgart,2,0
19/12/2018,Bayern Munich,RB Leipzig,1,0
19/12/2018,Freiburg,Hannover,1,1
19/12/2018,Mainz,Ein Frankfurt,2,2
19/12/2018,Schalke 04,Leverkusen,1,2
19/12/2018,Werder Bremen,Hoffenheim,1,1
21/12/2018,Dortmund,'M''gladbach',2,1
22/12/2018,Ein Frankfurt,Bayern Munich,0,3
22/12/2018,Hannover,Fortuna Dusseldorf,0,1
22/12/2018,Leverkusen,Hertha,3,1
22/12/2018,Nurnberg,Freiburg,0,1
22/12/2018,RB Leipzig,Werder Bremen,3,2
22/12/2018,Stuttgart,Schalke 04,1,3
23/12/2018,Augsburg,Wolfsburg,2,3
23/12/2018,Hoffenheim,Mainz,1,1
18/01/2019,Hoffenheim,Bayern Munich,1,3
19/01/2019,Augsburg,Fortuna Dusseldorf,1,2
19/01/2019,Ein Frankfurt,Freiburg,3,1
19/01/2019,Hannover,Werder Bremen,0,1
19/01/2019,Leverkusen,'M''gladbach',0,1
19/01/2019,RB Leipzig,Dortmund,0,1
19/01/2019,Stuttgart,Mainz,2,3
20/01/2019,Nurnberg,Hertha,1,3
20/01/2019,Schalke 04,Wolfsburg,2,1
25/01/2019,Hertha,Schalke 04,2,2
26/01/2019,Dortmund,Hannover,5,1
26/01/2019,Freiburg,Hoffenheim,2,4
26/01/2019,Mainz,Nurnberg,2,1
26/01/2019,'M''gladbach',Augsburg,2,0
26/01/2019,Werder Bremen,Ein Frankfurt,2,2
26/01/2019,Wolfsburg,Leverkusen,0,3
27/01/2019,Bayern Munich,Stuttgart,4,1
27/01/2019,Fortuna Dusseldorf,RB Leipzig,0,4
01/02/2019,Hannover,RB Leipzig,0,3
02/02/2019,Ein Frankfurt,Dortmund,1,1
02/02/2019,Hertha,Wolfsburg,0,1
02/02/2019,Hoffenheim,Fortuna Dusseldorf,1,1
02/02/2019,Leverkusen,Bayern Munich,3,1
02/02/2019,Nurnberg,Werder Bremen,1,1
02/02/2019,Schalke 04,'M''gladbach',0,2
03/02/2019,Augsburg,Mainz,3,0
03/02/2019,Stuttgart,Freiburg,2,2
08/02/2019,Mainz,Leverkusen,1,5
09/02/2019,Bayern Munich,Schalke 04,3,1
09/02/2019,Dortmund,Hoffenheim,3,3
09/02/2019,Freiburg,Wolfsburg,3,3
09/02/2019,Hannover,Nurnberg,2,0
09/02/2019,'M''gladbach',Hertha,0,3
09/02/2019,RB Leipzig,Ein Frankfurt,0,0
10/02/2019,Fortuna Dusseldorf,Stuttgart,3,0
10/02/2019,Werder Bremen,Augsburg,4,0
15/02/2019,Augsburg,Bayern Munich,2,3
