DATA,CASA,TRASFERTA,GOLCS,GOLTR
02/12/2018,Rennes,Strasbourg,1,4
02/12/2018,Toulouse,Dijon,2,2
04/12/2018,Amiens,Monaco,0,2
04/12/2018,Montpellier,Lille,0,1
04/12/2018,Nice,Angers,0,0
05/12/2018,Bordeaux,St Etienne,3,2
05/12/2018,Caen,Nimes,1,2
05/12/2018,Dijon,Guingamp,2,1
05/12/2018,Lyon,Rennes,0,2
05/12/2018,Nantes,Marseille,3,2
05/12/2018,Reims,Toulouse,0,1
05/12/2018,Strasbourg,Paris SG,1,1
08/12/2018,Guingamp,Amiens,1,2
08/12/2018,Rennes,Dijon,2,0
09/12/2018,Lille,Reims,1,1
09/12/2018,Strasbourg,Caen,2,2
15/12/2018,Reims,Strasbourg,2,1
16/12/2018,Lyon,Monaco,3,0
16/12/2018,Nice,St Etienne,1,1
16/12/2018,Nimes,Lille,2,3
18/12/2018,Caen,Toulouse,2,1
22/12/2018,Angers,Marseille,1,1
22/12/2018,Lille,Toulouse,1,2
22/12/2018,Monaco,Guingamp,0,2
22/12/2018,Montpellier,Lyon,1,1
22/12/2018,Paris SG,Nantes,1,0
22/12/2018,Reims,Caen,2,2
22/12/2018,Rennes,Nimes,4,0
22/12/2018,St Etienne,Dijon,3,0
22/12/2018,Strasbourg,Nice,2,0
23/12/2018,Bordeaux,Amiens,1,1
08/01/2019,Amiens,Angers,0,0
08/01/2019,Nantes,Montpellier,2,0
11/01/2019,Caen,Lille,1,3
11/01/2019,Lyon,Reims,1,1
12/01/2019,Amiens,Paris SG,0,3
12/01/2019,Guingamp,St Etienne,0,1
12/01/2019,Nice,Bordeaux,1,0
13/01/2019,Dijon,Montpellier,1,1
13/01/2019,Marseille,Monaco,1,1
13/01/2019,Nantes,Rennes,0,1
13/01/2019,Toulouse,Strasbourg,1,2
15/01/2019,Angers,Bordeaux,1,2
16/01/2019,Guingamp,Rennes,2,1
16/01/2019,Monaco,Nice,1,1
16/01/2019,Nimes,Nantes,1,0
16/01/2019,St Etienne,Marseille,2,1
16/01/2019,Toulouse,Lyon,2,2
18/01/2019,Lille,Amiens,2,1
19/01/2019,Monaco,Strasbourg,1,5
19/01/2019,Nimes,Toulouse,0,1
19/01/2019,Paris SG,Guingamp,9,0
19/01/2019,Reims,Nice,1,1
20/01/2019,Angers,Nantes,1,0
20/01/2019,Bordeaux,Dijon,1,0
20/01/2019,Caen,Marseille,0,1
20/01/2019,Rennes,Montpellier,0,0
20/01/2019,St Etienne,Lyon,1,2
23/01/2019,Nimes,Angers,3,1
25/01/2019,Marseille,Lille,1,2
26/01/2019,Dijon,Monaco,2,0
26/01/2019,Guingamp,Reims,0,1
26/01/2019,Nice,Nimes,2,0
26/01/2019,Strasbourg,Bordeaux,1,0
27/01/2019,Amiens,Lyon,0,1
27/01/2019,Montpellier,Caen,2,0
27/01/2019,Paris SG,Rennes,4,1
27/01/2019,Toulouse,Angers,0,0
30/01/2019,Nantes,St Etienne,1,1
01/02/2019,Lille,Nice,4,0
02/02/2019,Angers,Dijon,1,0
02/02/2019,Monaco,Toulouse,2,1
02/02/2019,Reims,Marseille,2,1
02/02/2019,Rennes,Amiens,1,0
03/02/2019,Lyon,Paris SG,2,1
03/02/2019,Nimes,Montpellier,1,1
05/02/2019,Marseille,Bordeaux,1,0
08/02/2019,Dijon,Marseille,1,2
09/02/2019,Amiens,Caen,1,0
09/02/2019,Paris SG,Bordeaux,1,0
09/02/2019,Strasbourg,Angers,1,2
10/02/2019,Guingamp,Lille,0,2
10/02/2019,Montpellier,Monaco,2,2
10/02/2019,Nantes,Nimes,2,4
10/02/2019,Nice,Lyon,1,0
10/02/2019,Rennes,St Etienne,3,0
10/02/2019,Toulouse,Reims,1,1
13/02/2019,Caen,Nantes,0,1
13/02/2019,St Etienne,Strasbourg,2,1
15/02/2019,Lyon,Guingamp,2,1
15/02/2019,Nimes,Dijon,2,0
16/02/2019,Angers,Nice,3,0
16/02/2019,Marseille,Amiens,2,0
16/02/2019,Monaco,Nantes,1,0
17/02/2019,Bordeaux,Toulouse,2,1
17/02/2019,Caen,Strasbourg,0,0
17/02/2019,Lille,Montpellier,0,0
17/02/2019,Reims,Rennes,2,0
